id,username,image_url,caption,location,timestamp,likes,shares,created_at
12efc296-2509-44b0-b413-a00762dd888f,discover_leo,https://images.pexels.com/photos/1371360/pexels-photo-1371360.jpeg,Adventure awaits around every corner,"Petra, Jordan",2025-08-05 19:32:42.343+00,256,15,2025-08-09 19:32:41.62697+00
179545f0-7a2d-4fd9-853e-9d6faadc5235,adventure_mia,https://images.pexels.com/photos/290275/pexels-photo-290275.jpeg,Travel is the only thing you buy that makes you richer 💫,"Statue of Liberty, New York",2025-07-25 19:32:42.343+00,46,11,2025-08-09 19:32:41.62697+00
1cd49086-bffb-4ee2-9ef1-218568fa78b3,voyage_emma,https://images.pexels.com/photos/2067569/pexels-photo-2067569.jpeg,"The world is a book, and those who don't travel read only one page","Neuschwanstein Castle, Germany",2025-08-01 19:32:42.343+00,454,3,2025-08-09 19:32:41.62697+00
23db803f-8dab-4604-aaab-9cabfc6f3b62,discover_leo,https://images.pexels.com/photos/77171/pexels-photo-77171.jpeg,"Collecting moments, not things","Big Ben, London",2025-07-23 19:32:42.939+00,289,31,2025-08-09 19:32:42.15742+00
2872aaa9-d23c-4d3f-872a-faf90e40d9a6,roam_zoe,https://images.pexels.com/photos/1583339/pexels-photo-1583339.jpeg,Life is short and the world is wide,"Taj Mahal, India",2025-07-22 19:32:42.343+00,152,25,2025-08-09 19:32:41.62697+00
2f0e787d-cf34-4e96-8de4-2c042f026638,globe_trotter_sam,https://images.pexels.com/photos/161798/stonehenge-mystical-wiltshire-england-161798.jpeg,Finding paradise wherever I go,"Stonehenge, UK",2025-08-05 19:32:42.343+00,78,19,2025-08-09 19:32:41.62697+00
389d498a-fae8-4014-94c0-7a15be91f0bc,discover_leo,https://images.pexels.com/photos/2067569/pexels-photo-2067569.jpeg,Not all who wander are lost,"Neuschwanstein Castle, Germany",2025-07-15 19:32:42.939+00,14,3,2025-08-09 19:32:42.15742+00
3c29599e-31c4-4020-a3db-7798fcdae946,explore_kai,https://images.pexels.com/photos/2064827/pexels-photo-2064827.jpeg,Sometimes you just have to stop and appreciate the beauty around you,"Colosseum, Rome",2025-08-01 19:32:42.342+00,71,33,2025-08-09 19:32:41.62697+00
3d180de3-8781-4287-a88a-086179b4927e,discover_leo,https://images.pexels.com/photos/161901/santorini-travel-vacation-europe-161901.jpeg,Adventure awaits around every corner,"Santorini, Greece",2025-07-19 19:32:42.939+00,247,32,2025-08-09 19:32:42.15742+00
446dcb85-ab2b-4fd9-a45b-9be66294e844,nomad_jenny,https://images.pexels.com/photos/1583339/pexels-photo-1583339.jpeg,Adventure awaits around every corner,"Taj Mahal, India",2025-07-21 19:32:42.939+00,50,30,2025-08-09 19:32:42.15742+00
44cc914e-3a28-4f95-96ec-5ccdea948f51,journey_finn,https://images.pexels.com/photos/315191/pexels-photo-315191.jpeg,Not all who wander are lost,"Tokyo Tower, Japan",2025-08-02 19:32:42.342+00,472,50,2025-08-09 19:32:41.62697+00
5328c66e-8023-4d7a-9261-ed5e425dca4f,globe_trotter_sam,https://images.pexels.com/photos/351448/pexels-photo-351448.jpeg,"Home is wherever I am with you, beautiful world 🌍","Christ the Redeemer, Brazil",2025-07-21 19:32:42.343+00,173,20,2025-08-09 19:32:41.62697+00
5d3ae167-4ee3-447e-b495-38feb2dbff9b,adventure_mia,https://images.pexels.com/photos/1371360/pexels-photo-1371360.jpeg,Adventure awaits around every corner,"Petra, Jordan",2025-07-21 19:32:42.939+00,467,39,2025-08-09 19:32:42.15742+00
6077cbb6-712e-429f-aca9-9541a35f886c,roam_zoe,https://images.pexels.com/photos/161901/santorini-travel-vacation-europe-161901.jpeg,Adventure awaits around every corner,"Santorini, Greece",2025-07-28 19:32:42.342+00,439,45,2025-08-09 19:32:41.62697+00
671de26f-aca9-4750-bf17-d0c508da6dfa,wander_luna,https://images.pexels.com/photos/2412603/pexels-photo-2412603.jpeg,Sometimes you just have to stop and appreciate the beauty around you,Great Wall of China,2025-07-25 19:32:42.939+00,85,10,2025-08-09 19:32:42.15742+00
695d29da-f904-4a5b-9cba-6d2672442033,explore_kai,https://images.pexels.com/photos/338515/pexels-photo-338515.jpeg,Wandering where the WiFi is weak but the soul is strong,"Eiffel Tower, Paris",2025-08-04 19:32:42.342+00,370,36,2025-08-09 19:32:41.62697+00
6e29e8ff-59a0-4ec4-8391-a1da9bc40dc2,travel_marco,https://images.pexels.com/photos/77171/pexels-photo-77171.jpeg,Discovering hidden gems off the beaten path,"Big Ben, London",2025-07-12 19:32:42.342+00,212,35,2025-08-09 19:32:41.62697+00
70d85a63-5dc8-4a05-8fc5-ffddb64a46e5,explorer_alex,https://images.pexels.com/photos/290275/pexels-photo-290275.jpeg,Making memories in magical places,"Statue of Liberty, New York",2025-07-27 19:32:42.939+00,472,39,2025-08-09 19:32:42.15742+00
7f46b9b6-5520-48c6-a46e-6e1f62b2a2a2,nomad_jenny,https://images.pexels.com/photos/315191/pexels-photo-315191.jpeg,"The world is a book, and those who don't travel read only one page","Tokyo Tower, Japan",2025-08-02 19:32:42.939+00,78,48,2025-08-09 19:32:42.15742+00
88d3e047-ad6d-465a-beee-8a1385c25a60,roam_zoe,https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg,Making memories in magical places,"Golden Gate Bridge, San Francisco",2025-08-09 19:32:42.939+00,429,38,2025-08-09 19:32:42.15742+00
9811291f-1411-4a80-9f84-d6d0c5967163,wanderlust_sophie,https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg,Travel is the only thing you buy that makes you richer 💫,"Golden Gate Bridge, San Francisco",2025-07-20 19:32:42.343+00,488,9,2025-08-09 19:32:41.62697+00
bed3570c-6223-438e-aff7-11d0fc06c171,wanderlust_sophie,https://images.pexels.com/photos/2064827/pexels-photo-2064827.jpeg,Every sunset brings the promise of a new dawn,"Colosseum, Rome",2025-08-03 19:32:42.939+00,50,44,2025-08-09 19:32:42.15742+00
bf00b03b-3ad2-4205-8c53-b776dd1c5f4a,adventure_mia,https://images.pexels.com/photos/161798/stonehenge-mystical-wiltshire-england-161798.jpeg,"Travel far enough, you meet yourself","Stonehenge, UK",2025-07-11 19:32:42.939+00,76,23,2025-08-09 19:32:42.15742+00
d69789e8-6f22-48ee-9ec8-6af9e0f67b79,voyage_emma,https://images.pexels.com/photos/259967/pexels-photo-259967.jpeg,Every sunset brings the promise of a new dawn,"Machu Picchu, Peru",2025-08-05 19:32:42.342+00,122,10,2025-08-09 19:32:41.62697+00
d757f362-234e-479f-9e40-39bf39e651ef,voyage_emma,https://images.pexels.com/photos/351448/pexels-photo-351448.jpeg,Adventure awaits around every corner,"Christ the Redeemer, Brazil",2025-07-29 19:32:42.939+00,18,37,2025-08-09 19:32:42.15742+00
db764004-aa35-4418-84b8-e177ea3dbe03,travel_marco,https://images.pexels.com/photos/338515/pexels-photo-338515.jpeg,Wandering where the WiFi is weak but the soul is strong,"Eiffel Tower, Paris",2025-07-22 19:32:42.939+00,377,2,2025-08-09 19:32:42.15742+00
e6abfd1f-e2e0-463a-96e6-894e0b550354,adventure_mia,https://images.pexels.com/photos/259967/pexels-photo-259967.jpeg,"Travel far enough, you meet yourself","Machu Picchu, Peru",2025-07-14 19:32:42.939+00,77,15,2025-08-09 19:32:42.15742+00
edf8b958-9c78-4559-82cc-06b28756f1e4,globe_trotter_sam,https://images.pexels.com/photos/995765/pexels-photo-995765.jpeg,"The world is a book, and those who don't travel read only one page","Sydney Opera House, Australia",2025-07-22 19:32:42.343+00,192,44,2025-08-09 19:32:41.62697+00
eff93b45-7f39-4648-b3d2-484442d9880a,nomad_jenny,https://images.pexels.com/photos/2412603/pexels-photo-2412603.jpeg,Life is short and the world is wide,Great Wall of China,2025-07-20 19:32:42.343+00,162,47,2025-08-09 19:32:41.62697+00
f363ed4f-df39-494e-b97e-0e4095f42a28,voyage_emma,https://images.pexels.com/photos/995765/pexels-photo-995765.jpeg,Adventure awaits around every corner,"Sydney Opera House, Australia",2025-07-27 19:32:42.939+00,271,30,2025-08-09 19:32:42.15742+00